Age,Chubb 安達,Blue Cross 藍十字,FTLife 富通,Zurich 蘇黎世,YF Life 萬通,Dah Sing 大新,BOC Life 中銀人壽,BOC 中銀,Taiping Life 太平人壽,China Taiping 中國太平,Sun Life 永明,Well Link Life 立橋人壽,MSIG,Liberty 利寶,Manulife 宏利,Asia Insurance 亞洲保險,Bupa 保柏,Bowtie 保泰,Prudential 保誠,Cigna Worldwide 信諾環球,Bolttech 保特,HSBC Life 滙豐,Hong Kong Life 香港人壽,FWD 富衛人壽,China Life 中國人壽,AIA 友邦,Avo 安我,AXA 安盛,ZA Life 眾安人壽
70,"10,034","18,926","12,201.00","11,928","13,750","18,125","13,487","12,867","12,470.77","14,960","8,419.00","11,287.00","16,200","12,114","9,566","13,372","15,165",8304,"14,313.32","12,616","10,839","11,916","10,798.00","12,065","9,034",12032,"12,199","11,349","8,385"
71,"10,775","19,459","12,907.00","12,516","14,173","19,594","13,915","13,612","13,192.85","15,605","8,851.00","11,964.00","20,304","12,706","10,005","13,372","15,623",8700,"14,917.59","13,272","11,271","12,521","11,430.00","12,511","9,574",12793.6,"12,364","11,925","8,780"
72,"11,182","20,007","12,907.00","12,996","14,587","21,117","14,338","14,395","13,952.08","16,277","9,304.00","12,622.00","20,304","13,299","10,459","13,372","16,056",9036,"15,547.28","13,961","11,696","13,212","12,094.00","12,965","10,144",13574.4,"12,533","12,583","9,130"
73,"11,777","20,572","12,907.00","13,560","14,792","22,268","14,782","14,803","14,347.85","16,958","9,782.00","13,253.00","20,304","13,891","10,972","13,372","16,459",9408,"16,203.62","14,688","12,108","13,745","12,451.00","13,415","10,451",14419.2,"12,707","13,090","9,500"
74,"12,289","21,152","12,907.00","14,076","14,941","23,207","15,219","15,242","14,772.69","17,664","10,259.00","13,849.00","20,304","14,484","11,383","13,372","16,825",9780,"16,887.64","15,452","12,507","14,165","12,832.00","13,871","10,797",15276.8,"12,886","13,490","9,875"
75,"12,829","21,787","12,907.00","14,616","14,970","24,166","15,598","15,707","15,223.38","18,238","10,867.00","14,472.00","20,304","15,076","11,798","14,854","17,147",10164,"17,475.40","16,256","12,839","14,499","13,239.00","14,326","11,165",15968,"14,519","13,809","10,270"
76,"13,382","22,440","12,907.00","15,048","15,015","25,275","16,049","16,303","15,801.69","18,833","11,396.00","15,124.00","20,304","15,549","12,366","14,854","17,416",10464,"18,083.62","17,134","13,161","14,732","13,755.00","14,781","11,629",16665.6,"14,729","14,030","10,570"
77,"13,949","23,115","12,907.00","15,636","15,057","26,382","16,498","16,907","16,386.46","19,445","11,951.00","15,804.00","20,304","16,021","12,938","14,854","17,626",10680,"18,713.07","18,059","13,483","14,871","14,278.00","15,238","12,103",17395.2,"14,946","14,163","10,785"
78,"14,550","23,807","12,907.00","16,200","15,095","27,746","16,946","17,743","17,197.38","20,046","12,534.00","16,516.00","20,304","16,494","13,514","14,854","17,766",10896,"19,364.38","19,034","13,800","14,970","14,994.00","15,692","12,745",18150.4,"15,169","14,257","11,000"
79,"15,118","24,521","12,907.00","16,776","15,116","28,944","17,367","18,572","18,000.23","20,670","12,984.00","17,143.00","20,304","16,965","14,096","14,854","17,827",11124,"20,038.40","20,062","14,121","15,069","15,716.00","16,169","13,387",18950.4,"15,398","14,351","11,230"
80,"15,671","25,257","12,907.00","17,328","15,124","30,120","17,720","19,387","18,790.15","21,312","13,448.00","17,789.00","20,304","17,438","14,749","18,122","17,917",11328,"20,477.90","21,145","14,638","15,165","16,430.00","16,641","14,023",19776,"17,713","14,443","11,445"
81,"16,218","25,762","12,907.00","17,688","15,134","31,025","17,964","20,023","19,407.23","22,122","13,597.00","18,553.00","20,952","17,871","15,252","18,122","17,917",11916,"20,919.03","21,357","14,886","15,262","16,999.00","17,056","14,485",20614.4,"17,970","14,535","11,615"
82,"16,778","26,278","12,907.00","18,180","15,141","31,889","18,207","20,617","19,982.31","22,960","13,747.00","19,348.00","20,952","18,302","15,713","18,122","17,917",12384,"21,358.77","21,570","15,123","15,357","17,540.00","17,434","14,915",21497.6,"18,234","14,626","11,615"
83,"17,331","26,803","12,907.00","18,708","15,148","32,901","18,449","21,278","20,623.62","23,793","13,899.00","20,165.00","20,952","18,734","16,106","18,122","17,917",12852,"21,798.35","21,786","15,372","15,449","18,139.00","17,796","15,394",22406.4,"18,506","14,713","11,615"
84,"17,857","27,340","12,907.00","19,248","15,158","33,693","18,691","21,903","21,229.38","24,663","14,235.00","21,019.00","20,952","19,167","16,493","18,122","17,917",13320,"22,239.40","22,003","15,641","15,548","18,712.00","18,117","15,844",23353.6,"18,786","14,808","11,615"
