Age,Chubb 安達,Blue Cross 藍十字,FTLife 富通,Zurich 蘇黎世,YF Life 萬通,Dah Sing 大新,BOC Life 中銀人壽,BOC Group 中銀集團,Taiping Life 太平人壽,China Taiping 中國太平,Sun Life 永明,Well Link Life 立橋人壽,MSIG,Liberty 利寶,Manulife 宏利,Asia Insurance 亞洲保險,Bupa 保柏,Bowtie 保泰,Prudential 保誠,Cigna Worldwide 信諾環球,Bolttech 保特,HSBC Life 滙豐,Hong Kong Life 香港人壽,FWD 富衛人壽,China Life 中國人壽,AIA 友邦,Avo 安我,AXA 安盛,ZA Life 眾安人壽
78,"14,665","23,807","15,078.00","16,836","11,640","27,702","17,507.00","18,520","17,950.15","20,535","13,449.00","16,590.00","20,304","16,494","13,822","16,682","17,766",11520,"20,959.64","19,034","14,815","15,761","15,838.00","17,742","13,413",18361.6,"16,942","15,010","11,635"
79,"15,161","24,521","15,078.00","17,376","11,940","28,415","17,939.00","19,060","18,473.54","21,130","14,125.00","17,237.00","20,304","16,965","14,348","16,682","17,827",11880,"21,726.74","20,062","15,180","15,880","16,340.00","18,236","13,881",19155.2,"17,211","15,124","11,935"
80,"15,642","25,257","15,078.00","17,856","12,241","29,144","18,239.00","19,610","19,006.62","21,741","14,835.00","17,971.00","20,304","17,438","14,946","20,252","17,917",12108,"22,205.69","21,145","15,744","15,902","16,852.00","18,649","14,363",19968,"19,648","15,145","12,225"
81,"16,138","25,762","15,078.00","18,288","12,602","30,132","18,437.00","20,332","19,706.08","22,520","15,207.00","18,754.00","20,952","17,871","15,397","20,252","17,917",12732,"22,681.77","21,357","16,054","15,923","17,511.00","19,059","14,893",20838.4,"19,945","15,165","12,600"
82,"16,627","26,278","15,078.00","18,876","12,841","31,112","18,636.00","21,030","20,382.92","23,328","15,589.00","19,544.00","20,952","18,302","15,805","20,252","17,917",13224,"23,160.80","21,570","16,357","15,945","18,151.00","19,442","15,435",21715.2,"20,252","15,186","12,840"
83,"17,108","26,803","15,078.00","19,416","13,074","31,887","18,836.00","21,560","20,896.62","24,102","15,979.00","20,373.00","20,952","18,734","16,147","20,252","17,917",13716,"23,638.04","21,786","16,676","16,010","18,663.00","19,826","15,859",22636.8,"20,569","15,248","13,070"
84,"17,575","27,340","15,078.00","19,908","13,303","32,412","19,037.00","22,028","21,350.54","24,907","16,381.00","21,243.00","20,952","19,167","16,480","20,252","17,917",14208,"24,113.89","22,003","16,995","16,072","19,130.00","20,198","16,236",23603.2,"20,895","15,307","13,300"
85,"18,056","27,886","15,078.00","20,352","13,520","32,883","19,260.00","22,428","21,738.23","25,368","16,792.00","22,142.00","20,952","19,599","16,695","19,783","17,917",14700,"24,593.15","22,223","17,295","16,135","19,546.00","20,573","16,566",24601.6,"20,669","15,367","13,515"
86,"18,545","28,165","15,078.00","20,820","13,596","33,175","19,483.00","22,585","21,890.08","25,839","17,213.00","22,510.00","20,952","19,864","16,913","19,783","17,917",14700,"25,069.00","22,446","17,592","16,202","19,783.00","20,932","16,717",25011.2,"20,982","15,430","13,565"
87,"19,049","28,446","15,078.00","21,216","13,671","33,428","19,706.00","22,692","21,993.46","26,321","17,646.00","22,891.00","20,952","20,130","17,134","19,783","17,917",14700,"25,470.07","22,670","17,866","16,265","19,990.00","21,289","16,832",25433.6,"21,305","15,490","13,565"
